Notes,StopEpoch,MaxEpochs,File,Time,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Precision,Recall,Y_EVAL,Y_PRED,SizeTrain,SizeEval,TestSize,PositiveShareTraining,PositiveShareTesting,F1
MULTICLASS | BATCH_SIZE: 128 | with address information,6,100,all/Connection.csv,5344.788096666336,77333,8202,9772314,1,0.9972529303548385,0.904109428888759,0.9999870690769908,"=""{0: 9792718, 1: 77341, 2: 1720, 3: 2, 4: 68120, 5: 22715}""","=""{0: 9775866, 1: 85570, 4: 78050, 5: 23130}""",29887846,9962616,0.25,1.70%,1.71%,0.9496343687257858
MULTICLASS | BATCH_SIZE: 128 | with address information | with dropout layer,6,100,all/Connection.csv,5346.093250274658,77401,8303,9768227,5,0.9970825935677938,0.9031200410715953,0.9999354055241195,"=""{0: 9792515, 1: 77407, 2: 1676, 3: 6, 4: 67996, 5: 23016}""","=""{0: 9771309, 1: 85714, 4: 70714, 5: 34879}""",29887846,9962616,0.25,1.70%,1.71%,0.9490650481270309
MULTICLASS | BATCH_SIZE: 128 | without address information,5,100,all/Connection.csv,4538.979511499405,77030,8405,9768242,7,0.9949841487416559,0.9016211154678996,0.9999091345716993,"=""{0: 9792813, 1: 77114, 2: 1695, 3: 7, 4: 67883, 5: 23104}""","=""{0: 9793410, 1: 85454, 4: 48390, 5: 35362}""",29887846,9962616,0.25,1.70%,1.70%,0.9482249249101383
MULTICLASS | BATCH_SIZE: 128 | 16 - 32 - 16 | without address information | with class weights,7,100,all/Connection.csv,6028.1711139678955,77197,8968,9430403,13,0.9632523224823681,0.8959206174200661,0.9998316280274576,"=""{0: 9793054, 1: 77244, 2: 1766, 3: 4, 4: 67603, 5: 22945}""","=""{0: 9433780, 1: 86173, 2: 20004, 4: 387734, 5: 34925}""",29887846,9962616,0.25,1.71%,1.70%,0.9450283091048203
MULTICLASS | BATCH_SIZE: 128 | 16 - 32 - 16 | without address information | with dropout layer,4,100,all/Connection.csv,3618.006326675415,0,0,9792334,77411,0.9829079029042171,nan,0.0,"=""{0: 9792334, 1: 77411, 2: 1753, 3: 7, 4: 68124, 5: 22987}""","=""{0: 9962616}""",29887846,9962616,0.25,1.70%,1.71%,0
MULTICLASS | BATCH_SIZE: 256 | with address information,5,100,all/Connection.csv,2356.5340514183044,77193,8116,9767285,4,0.9969529087540863,0.9048634962313472,0.9999481845149423,"=""{0: 9792423, 1: 77203, 2: 1774, 3: 3, 4: 68109, 5: 23104}""","=""{0: 9770653, 1: 85380, 4: 70908, 5: 35675}""",29887846,9962616,0.25,1.70%,1.71%,0.9500326141803994
MULTICLASS | BATCH_SIZE: 256 | with address information | with dropout layer,5,100,all/Connection.csv,2360.0329813957214,76808,8195,9769478,1,0.9968723074341117,0.9035916379421903,0.9999869806923668,"=""{0: 9793471, 1: 76865, 2: 1730, 3: 5, 4: 67801, 5: 22744}""","=""{0: 9774464, 1: 85030, 4: 68031, 5: 35091}""",29887846,9962616,0.25,1.71%,1.70%,0.9493486268014734
MULTICLASS | BATCH_SIZE: 256 | without address information,4,100,all/Connection.csv,1891.6487574577332,77125,8503,9763705,9,0.9948521552973637,0.9006983696921568,0.9998833199367335,"=""{0: 9793156, 1: 77140, 2: 1690, 3: 2, 4: 67735, 5: 22893}""","=""{0: 9783894, 1: 85721, 4: 59166, 5: 33835}""",29887846,9962616,0.25,1.71%,1.70%,0.9477027807473489
MULTICLASS | BATCH_SIZE: 256 | 16 - 32 - 16 | without address information | with class weights,13,100,all/Connection.csv,5599.060002088547,77183,8468,9435435,5,0.9638284763760844,0.9011336703599491,0.9999352230916723,"=""{0: 9792586, 1: 77194, 2: 1742, 3: 8, 4: 67972, 5: 23114}""","=""{0: 9438613, 1: 85656, 2: 2997, 4: 396972, 5: 38378}""",29887846,9962616,0.25,1.70%,1.71%,0.9479670103599261
MULTICLASS | BATCH_SIZE: 256 | 16 - 32 - 16 | without address information | with dropout layer,7,100,all/Connection.csv,3210.63724732399,77401,8472,9768557,4,0.9954138551561156,0.9013426804699964,0.9999483237516956,"=""{0: 9792042, 1: 77445, 2: 1726, 3: 7, 4: 68369, 5: 23027}""","=""{0: 9789723, 1: 85910, 4: 51992, 5: 34991}""",29887846,9962616,0.25,1.70%,1.71%,0.948088536116317
